Epoch 0; train_loss: 1.311; val_loss: 1.339; train_acc: 0.466; train_f1: 0.013, val_acc: 0.425; val_f1: 0.0
Epoch 35; train_loss: 0.689; val_loss: 0.67; train_acc: 0.579; train_f1: 0.612, val_acc: 0.575; val_f1: 0.646
Epoch 36; train_loss: 0.676; val_loss: 0.65; train_acc: 0.579; train_f1: 0.608, val_acc: 0.633; val_f1: 0.72
Epoch 37; train_loss: 0.679; val_loss: 0.648; train_acc: 0.582; train_f1: 0.598, val_acc: 0.633; val_f1: 0.727
Epoch 38; train_loss: 0.676; val_loss: 0.652; train_acc: 0.595; train_f1: 0.623, val_acc: 0.642; val_f1: 0.724
Epoch 39; train_loss: 0.668; val_loss: 0.653; train_acc: 0.605; train_f1: 0.627, val_acc: 0.642; val_f1: 0.719
Epoch 40; train_loss: 0.669; val_loss: 0.657; train_acc: 0.614; train_f1: 0.64, val_acc: 0.583; val_f1: 0.667
Epoch 41; train_loss: 0.676; val_loss: 0.661; train_acc: 0.597; train_f1: 0.625, val_acc: 0.592; val_f1: 0.665
Epoch 42; train_loss: 0.674; val_loss: 0.639; train_acc: 0.585; train_f1: 0.621, val_acc: 0.658; val_f1: 0.716
Epoch 43; train_loss: 0.663; val_loss: 0.66; train_acc: 0.625; train_f1: 0.656, val_acc: 0.6; val_f1: 0.661
Epoch 44; train_loss: 0.655; val_loss: 0.654; train_acc: 0.635; train_f1: 0.652, val_acc: 0.6; val_f1: 0.679
Epoch 45; train_loss: 0.663; val_loss: 0.647; train_acc: 0.609; train_f1: 0.635, val_acc: 0.658; val_f1: 0.738
Epoch 46; train_loss: 0.658; val_loss: 0.647; train_acc: 0.625; train_f1: 0.645, val_acc: 0.65; val_f1: 0.663
Epoch 47; train_loss: 0.651; val_loss: 0.66; train_acc: 0.624; train_f1: 0.654, val_acc: 0.608; val_f1: 0.662
Epoch 48; train_loss: 0.656; val_loss: 0.645; train_acc: 0.625; train_f1: 0.646, val_acc: 0.667; val_f1: 0.676
Epoch 49; train_loss: 0.659; val_loss: 0.631; train_acc: 0.643; train_f1: 0.665, val_acc: 0.667; val_f1: 0.737
Epoch 50; train_loss: 0.65; val_loss: 0.643; train_acc: 0.636; train_f1: 0.657, val_acc: 0.667; val_f1: 0.666
Epoch 51; train_loss: 0.657; val_loss: 0.63; train_acc: 0.62; train_f1: 0.655, val_acc: 0.675; val_f1: 0.733
Epoch 52; train_loss: 0.654; val_loss: 0.656; train_acc: 0.626; train_f1: 0.653, val_acc: 0.617; val_f1: 0.681
Epoch 53; train_loss: 0.65; val_loss: 0.645; train_acc: 0.63; train_f1: 0.665, val_acc: 0.625; val_f1: 0.675
Epoch 54; train_loss: 0.649; val_loss: 0.628; train_acc: 0.638; train_f1: 0.668, val_acc: 0.692; val_f1: 0.738
Epoch 55; train_loss: 0.638; val_loss: 0.62; train_acc: 0.657; train_f1: 0.675, val_acc: 0.692; val_f1: 0.75
Epoch 56; train_loss: 0.653; val_loss: 0.64; train_acc: 0.629; train_f1: 0.65, val_acc: 0.625; val_f1: 0.686
Epoch 57; train_loss: 0.642; val_loss: 0.621; train_acc: 0.645; train_f1: 0.672, val_acc: 0.675; val_f1: 0.735
Epoch 58; train_loss: 0.634; val_loss: 0.632; train_acc: 0.661; train_f1: 0.686, val_acc: 0.675; val_f1: 0.736
Epoch 59; train_loss: 0.637; val_loss: 0.645; train_acc: 0.669; train_f1: 0.692, val_acc: 0.617; val_f1: 0.678
Epoch 60; train_loss: 0.635; val_loss: 0.608; train_acc: 0.676; train_f1: 0.695, val_acc: 0.675; val_f1: 0.73
Epoch 61; train_loss: 0.631; val_loss: 0.62; train_acc: 0.682; train_f1: 0.699, val_acc: 0.667; val_f1: 0.723
Epoch 62; train_loss: 0.624; val_loss: 0.638; train_acc: 0.672; train_f1: 0.702, val_acc: 0.608; val_f1: 0.655
Epoch 63; train_loss: 0.636; val_loss: 0.617; train_acc: 0.656; train_f1: 0.688, val_acc: 0.675; val_f1: 0.722
Epoch 64; train_loss: 0.622; val_loss: 0.624; train_acc: 0.68; train_f1: 0.707, val_acc: 0.658; val_f1: 0.649
Epoch 65; train_loss: 0.633; val_loss: 0.616; train_acc: 0.655; train_f1: 0.686, val_acc: 0.667; val_f1: 0.716
Epoch 66; train_loss: 0.623; val_loss: 0.617; train_acc: 0.662; train_f1: 0.689, val_acc: 0.667; val_f1: 0.637
Epoch 67; train_loss: 0.621; val_loss: 0.624; train_acc: 0.681; train_f1: 0.704, val_acc: 0.667; val_f1: 0.639
Epoch 68; train_loss: 0.622; val_loss: 0.61; train_acc: 0.682; train_f1: 0.705, val_acc: 0.667; val_f1: 0.713
Epoch 69; train_loss: 0.615; val_loss: 0.604; train_acc: 0.687; train_f1: 0.704, val_acc: 0.658; val_f1: 0.676
Epoch 70; train_loss: 0.627; val_loss: 0.608; train_acc: 0.668; train_f1: 0.686, val_acc: 0.658; val_f1: 0.684
Epoch 71; train_loss: 0.618; val_loss: 0.632; train_acc: 0.687; train_f1: 0.709, val_acc: 0.608; val_f1: 0.659
Epoch 72; train_loss: 0.617; val_loss: 0.614; train_acc: 0.679; train_f1: 0.697, val_acc: 0.658; val_f1: 0.654
Epoch 73; train_loss: 0.618; val_loss: 0.613; train_acc: 0.699; train_f1: 0.719, val_acc: 0.667; val_f1: 0.634
Epoch 74; train_loss: 0.615; val_loss: 0.615; train_acc: 0.688; train_f1: 0.712, val_acc: 0.658; val_f1: 0.703
Epoch 75; train_loss: 0.617; val_loss: 0.629; train_acc: 0.681; train_f1: 0.706, val_acc: 0.6; val_f1: 0.64
Epoch 76; train_loss: 0.607; val_loss: 0.609; train_acc: 0.698; train_f1: 0.719, val_acc: 0.658; val_f1: 0.671
Epoch 77; train_loss: 0.607; val_loss: 0.597; train_acc: 0.708; train_f1: 0.73, val_acc: 0.658; val_f1: 0.711
Epoch 78; train_loss: 0.607; val_loss: 0.591; train_acc: 0.696; train_f1: 0.725, val_acc: 0.675; val_f1: 0.71
Epoch 79; train_loss: 0.598; val_loss: 0.625; train_acc: 0.705; train_f1: 0.726, val_acc: 0.625; val_f1: 0.662
Epoch 80; train_loss: 0.604; val_loss: 0.6; train_acc: 0.705; train_f1: 0.716, val_acc: 0.683; val_f1: 0.711
Epoch 81; train_loss: 0.599; val_loss: 0.593; train_acc: 0.713; train_f1: 0.735, val_acc: 0.683; val_f1: 0.715
Epoch 82; train_loss: 0.597; val_loss: 0.59; train_acc: 0.729; train_f1: 0.744, val_acc: 0.683; val_f1: 0.712
Epoch 83; train_loss: 0.599; val_loss: 0.599; train_acc: 0.695; train_f1: 0.72, val_acc: 0.683; val_f1: 0.706
Epoch 84; train_loss: 0.607; val_loss: 0.613; train_acc: 0.688; train_f1: 0.703, val_acc: 0.625; val_f1: 0.653
Epoch 85; train_loss: 0.6; val_loss: 0.594; train_acc: 0.694; train_f1: 0.72, val_acc: 0.675; val_f1: 0.626
Epoch 86; train_loss: 0.59; val_loss: 0.585; train_acc: 0.717; train_f1: 0.74, val_acc: 0.667; val_f1: 0.696
Epoch 87; train_loss: 0.583; val_loss: 0.597; train_acc: 0.732; train_f1: 0.75, val_acc: 0.675; val_f1: 0.639
Epoch 88; train_loss: 0.593; val_loss: 0.601; train_acc: 0.719; train_f1: 0.734, val_acc: 0.675; val_f1: 0.685
Epoch 89; train_loss: 0.589; val_loss: 0.585; train_acc: 0.715; train_f1: 0.731, val_acc: 0.675; val_f1: 0.624
Epoch 90; train_loss: 0.583; val_loss: 0.615; train_acc: 0.731; train_f1: 0.753, val_acc: 0.617; val_f1: 0.638
Epoch 91; train_loss: 0.583; val_loss: 0.615; train_acc: 0.73; train_f1: 0.749, val_acc: 0.625; val_f1: 0.621
Epoch 92; train_loss: 0.585; val_loss: 0.577; train_acc: 0.729; train_f1: 0.738, val_acc: 0.675; val_f1: 0.617
Epoch 93; train_loss: 0.574; val_loss: 0.593; train_acc: 0.742; train_f1: 0.753, val_acc: 0.675; val_f1: 0.697
Epoch 94; train_loss: 0.582; val_loss: 0.578; train_acc: 0.723; train_f1: 0.74, val_acc: 0.675; val_f1: 0.694
Epoch 95; train_loss: 0.581; val_loss: 0.59; train_acc: 0.721; train_f1: 0.73, val_acc: 0.675; val_f1: 0.689
Epoch 96; train_loss: 0.58; val_loss: 0.603; train_acc: 0.743; train_f1: 0.752, val_acc: 0.617; val_f1: 0.623
Epoch 97; train_loss: 0.574; val_loss: 0.573; train_acc: 0.721; train_f1: 0.741, val_acc: 0.675; val_f1: 0.594
Epoch 98; train_loss: 0.571; val_loss: 0.613; train_acc: 0.73; train_f1: 0.739, val_acc: 0.617; val_f1: 0.636
Epoch 99; train_loss: 0.566; val_loss: 0.609; train_acc: 0.748; train_f1: 0.763, val_acc: 0.617; val_f1: 0.647
Epoch 100; train_loss: 0.567; val_loss: 0.579; train_acc: 0.742; train_f1: 0.76, val_acc: 0.675; val_f1: 0.671
Epoch 101; train_loss: 0.57; val_loss: 0.609; train_acc: 0.744; train_f1: 0.759, val_acc: 0.617; val_f1: 0.636
Epoch 102; train_loss: 0.567; val_loss: 0.587; train_acc: 0.737; train_f1: 0.749, val_acc: 0.675; val_f1: 0.609
Epoch 103; train_loss: 0.563; val_loss: 0.593; train_acc: 0.752; train_f1: 0.767, val_acc: 0.675; val_f1: 0.629
Epoch 104; train_loss: 0.56; val_loss: 0.608; train_acc: 0.743; train_f1: 0.759, val_acc: 0.617; val_f1: 0.624
Epoch 105; train_loss: 0.565; val_loss: 0.582; train_acc: 0.729; train_f1: 0.742, val_acc: 0.675; val_f1: 0.687
Epoch 106; train_loss: 0.564; val_loss: 0.564; train_acc: 0.746; train_f1: 0.756, val_acc: 0.675; val_f1: 0.641
Epoch 107; train_loss: 0.558; val_loss: 0.62; train_acc: 0.745; train_f1: 0.747, val_acc: 0.617; val_f1: 0.638
Epoch 108; train_loss: 0.557; val_loss: 0.57; train_acc: 0.756; train_f1: 0.765, val_acc: 0.675; val_f1: 0.681
Epoch 109; train_loss: 0.552; val_loss: 0.596; train_acc: 0.758; train_f1: 0.772, val_acc: 0.683; val_f1: 0.615
Epoch 110; train_loss: 0.551; val_loss: 0.586; train_acc: 0.757; train_f1: 0.772, val_acc: 0.683; val_f1: 0.646
Epoch 111; train_loss: 0.547; val_loss: 0.57; train_acc: 0.756; train_f1: 0.769, val_acc: 0.683; val_f1: 0.605
Epoch 112; train_loss: 0.548; val_loss: 0.573; train_acc: 0.761; train_f1: 0.768, val_acc: 0.683; val_f1: 0.598
Epoch 113; train_loss: 0.546; val_loss: 0.594; train_acc: 0.779; train_f1: 0.782, val_acc: 0.683; val_f1: 0.636
Epoch 114; train_loss: 0.537; val_loss: 0.619; train_acc: 0.769; train_f1: 0.778, val_acc: 0.625; val_f1: 0.645
Epoch 115; train_loss: 0.541; val_loss: 0.581; train_acc: 0.761; train_f1: 0.765, val_acc: 0.683; val_f1: 0.626
Epoch 116; train_loss: 0.545; val_loss: 0.598; train_acc: 0.751; train_f1: 0.76, val_acc: 0.625; val_f1: 0.623
Epoch 117; train_loss: 0.533; val_loss: 0.577; train_acc: 0.778; train_f1: 0.785, val_acc: 0.667; val_f1: 0.664
Epoch 118; train_loss: 0.532; val_loss: 0.561; train_acc: 0.764; train_f1: 0.779, val_acc: 0.667; val_f1: 0.576
Epoch 119; train_loss: 0.534; val_loss: 0.579; train_acc: 0.763; train_f1: 0.775, val_acc: 0.675; val_f1: 0.618
Epoch 120; train_loss: 0.536; val_loss: 0.567; train_acc: 0.77; train_f1: 0.773, val_acc: 0.675; val_f1: 0.639
Epoch 121; train_loss: 0.533; val_loss: 0.614; train_acc: 0.768; train_f1: 0.78, val_acc: 0.617; val_f1: 0.614
Epoch 122; train_loss: 0.521; val_loss: 0.611; train_acc: 0.784; train_f1: 0.793, val_acc: 0.617; val_f1: 0.602
Epoch 123; train_loss: 0.529; val_loss: 0.608; train_acc: 0.781; train_f1: 0.788, val_acc: 0.617; val_f1: 0.578
Epoch 124; train_loss: 0.526; val_loss: 0.578; train_acc: 0.78; train_f1: 0.786, val_acc: 0.675; val_f1: 0.683
Epoch 125; train_loss: 0.53; val_loss: 0.608; train_acc: 0.777; train_f1: 0.782, val_acc: 0.617; val_f1: 0.614
Epoch 126; train_loss: 0.519; val_loss: 0.564; train_acc: 0.776; train_f1: 0.782, val_acc: 0.675; val_f1: 0.691
Epoch 127; train_loss: 0.528; val_loss: 0.567; train_acc: 0.77; train_f1: 0.771, val_acc: 0.675; val_f1: 0.686
Epoch 128; train_loss: 0.522; val_loss: 0.607; train_acc: 0.765; train_f1: 0.773, val_acc: 0.617; val_f1: 0.605
Epoch 129; train_loss: 0.517; val_loss: 0.606; train_acc: 0.782; train_f1: 0.784, val_acc: 0.617; val_f1: 0.596
Epoch 130; train_loss: 0.513; val_loss: 0.621; train_acc: 0.784; train_f1: 0.79, val_acc: 0.617; val_f1: 0.623
Epoch 131; train_loss: 0.522; val_loss: 0.63; train_acc: 0.77; train_f1: 0.772, val_acc: 0.617; val_f1: 0.63
Epoch 132; train_loss: 0.51; val_loss: 0.584; train_acc: 0.785; train_f1: 0.791, val_acc: 0.675; val_f1: 0.607
Epoch 133; train_loss: 0.516; val_loss: 0.564; train_acc: 0.778; train_f1: 0.772, val_acc: 0.675; val_f1: 0.685
Epoch 134; train_loss: 0.517; val_loss: 0.623; train_acc: 0.767; train_f1: 0.771, val_acc: 0.617; val_f1: 0.586
Epoch 135; train_loss: 0.506; val_loss: 0.598; train_acc: 0.797; train_f1: 0.801, val_acc: 0.617; val_f1: 0.619
Epoch 136; train_loss: 0.502; val_loss: 0.581; train_acc: 0.788; train_f1: 0.798, val_acc: 0.675; val_f1: 0.62
Epoch 137; train_loss: 0.503; val_loss: 0.607; train_acc: 0.789; train_f1: 0.79, val_acc: 0.617; val_f1: 0.627
Epoch 138; train_loss: 0.498; val_loss: 0.562; train_acc: 0.788; train_f1: 0.79, val_acc: 0.675; val_f1: 0.674
Epoch 139; train_loss: 0.5; val_loss: 0.616; train_acc: 0.795; train_f1: 0.792, val_acc: 0.617; val_f1: 0.591
Epoch 140; train_loss: 0.496; val_loss: 0.565; train_acc: 0.788; train_f1: 0.786, val_acc: 0.675; val_f1: 0.659
Epoch 141; train_loss: 0.497; val_loss: 0.614; train_acc: 0.799; train_f1: 0.802, val_acc: 0.617; val_f1: 0.622
Epoch 142; train_loss: 0.496; val_loss: 0.576; train_acc: 0.788; train_f1: 0.79, val_acc: 0.675; val_f1: 0.674
Epoch 143; train_loss: 0.495; val_loss: 0.589; train_acc: 0.795; train_f1: 0.797, val_acc: 0.675; val_f1: 0.675
Epoch 144; train_loss: 0.497; val_loss: 0.606; train_acc: 0.799; train_f1: 0.791, val_acc: 0.617; val_f1: 0.625
Epoch 145; train_loss: 0.5; val_loss: 0.593; train_acc: 0.785; train_f1: 0.785, val_acc: 0.675; val_f1: 0.608
Epoch 146; train_loss: 0.49; val_loss: 0.562; train_acc: 0.797; train_f1: 0.793, val_acc: 0.675; val_f1: 0.613
Epoch 147; train_loss: 0.492; val_loss: 0.602; train_acc: 0.799; train_f1: 0.795, val_acc: 0.617; val_f1: 0.62
Epoch 148; train_loss: 0.489; val_loss: 0.59; train_acc: 0.802; train_f1: 0.805, val_acc: 0.675; val_f1: 0.594
Epoch 149; train_loss: 0.487; val_loss: 0.672; train_acc: 0.803; train_f1: 0.802, val_acc: 0.617; val_f1: 0.627
Epoch 150; train_loss: 0.489; val_loss: 0.576; train_acc: 0.794; train_f1: 0.784, val_acc: 0.675; val_f1: 0.636
Epoch 151; train_loss: 0.487; val_loss: 0.632; train_acc: 0.797; train_f1: 0.798, val_acc: 0.617; val_f1: 0.636
Epoch 152; train_loss: 0.487; val_loss: 0.605; train_acc: 0.796; train_f1: 0.798, val_acc: 0.617; val_f1: 0.61
Epoch 153; train_loss: 0.488; val_loss: 0.63; train_acc: 0.787; train_f1: 0.792, val_acc: 0.608; val_f1: 0.588
Epoch 154; train_loss: 0.479; val_loss: 0.595; train_acc: 0.806; train_f1: 0.803, val_acc: 0.667; val_f1: 0.608
Epoch 155; train_loss: 0.481; val_loss: 0.58; train_acc: 0.805; train_f1: 0.796, val_acc: 0.667; val_f1: 0.68
Epoch 156; train_loss: 0.478; val_loss: 0.583; train_acc: 0.803; train_f1: 0.806, val_acc: 0.667; val_f1: 0.643
Epoch 157; train_loss: 0.477; val_loss: 0.571; train_acc: 0.802; train_f1: 0.795, val_acc: 0.667; val_f1: 0.665
Epoch 158; train_loss: 0.472; val_loss: 0.638; train_acc: 0.813; train_f1: 0.806, val_acc: 0.617; val_f1: 0.619
Epoch 159; train_loss: 0.472; val_loss: 0.57; train_acc: 0.805; train_f1: 0.805, val_acc: 0.675; val_f1: 0.625
Epoch 160; train_loss: 0.471; val_loss: 0.604; train_acc: 0.809; train_f1: 0.814, val_acc: 0.675; val_f1: 0.675
Epoch 161; train_loss: 0.473; val_loss: 0.633; train_acc: 0.798; train_f1: 0.801, val_acc: 0.642; val_f1: 0.634
Epoch 162; train_loss: 0.478; val_loss: 0.648; train_acc: 0.794; train_f1: 0.792, val_acc: 0.633; val_f1: 0.593
Epoch 163; train_loss: 0.466; val_loss: 0.706; train_acc: 0.808; train_f1: 0.803, val_acc: 0.625; val_f1: 0.566
Epoch 164; train_loss: 0.462; val_loss: 0.62; train_acc: 0.801; train_f1: 0.798, val_acc: 0.642; val_f1: 0.627
Epoch 165; train_loss: 0.467; val_loss: 0.584; train_acc: 0.812; train_f1: 0.813, val_acc: 0.692; val_f1: 0.681
Epoch 166; train_loss: 0.457; val_loss: 0.582; train_acc: 0.813; train_f1: 0.811, val_acc: 0.692; val_f1: 0.653
Epoch 167; train_loss: 0.457; val_loss: 0.629; train_acc: 0.81; train_f1: 0.809, val_acc: 0.633; val_f1: 0.617
Epoch 168; train_loss: 0.464; val_loss: 0.667; train_acc: 0.812; train_f1: 0.803, val_acc: 0.633; val_f1: 0.56
Epoch 169; train_loss: 0.458; val_loss: 0.683; train_acc: 0.815; train_f1: 0.811, val_acc: 0.633; val_f1: 0.618
Epoch 170; train_loss: 0.457; val_loss: 0.598; train_acc: 0.807; train_f1: 0.804, val_acc: 0.692; val_f1: 0.573
Epoch 171; train_loss: 0.46; val_loss: 0.667; train_acc: 0.817; train_f1: 0.817, val_acc: 0.633; val_f1: 0.601
Epoch 172; train_loss: 0.456; val_loss: 0.594; train_acc: 0.808; train_f1: 0.811, val_acc: 0.692; val_f1: 0.641
Epoch 173; train_loss: 0.453; val_loss: 0.673; train_acc: 0.812; train_f1: 0.814, val_acc: 0.633; val_f1: 0.608
Epoch 174; train_loss: 0.453; val_loss: 0.618; train_acc: 0.802; train_f1: 0.802, val_acc: 0.692; val_f1: 0.633
Epoch 175; train_loss: 0.452; val_loss: 0.614; train_acc: 0.816; train_f1: 0.819, val_acc: 0.683; val_f1: 0.651
Epoch 176; train_loss: 0.451; val_loss: 0.603; train_acc: 0.814; train_f1: 0.819, val_acc: 0.692; val_f1: 0.59
Epoch 177; train_loss: 0.454; val_loss: 0.644; train_acc: 0.812; train_f1: 0.805, val_acc: 0.633; val_f1: 0.615
Epoch 178; train_loss: 0.451; val_loss: 0.594; train_acc: 0.82; train_f1: 0.813, val_acc: 0.683; val_f1: 0.597
Epoch 179; train_loss: 0.445; val_loss: 0.612; train_acc: 0.81; train_f1: 0.81, val_acc: 0.683; val_f1: 0.561
Epoch 180; train_loss: 0.444; val_loss: 0.597; train_acc: 0.82; train_f1: 0.817, val_acc: 0.683; val_f1: 0.603
Epoch 181; train_loss: 0.441; val_loss: 0.688; train_acc: 0.816; train_f1: 0.809, val_acc: 0.625; val_f1: 0.608
Epoch 182; train_loss: 0.443; val_loss: 0.622; train_acc: 0.809; train_f1: 0.794, val_acc: 0.683; val_f1: 0.559
Epoch 183; train_loss: 0.438; val_loss: 0.713; train_acc: 0.822; train_f1: 0.821, val_acc: 0.625; val_f1: 0.594
Epoch 184; train_loss: 0.442; val_loss: 0.626; train_acc: 0.814; train_f1: 0.804, val_acc: 0.683; val_f1: 0.568
Epoch 185; train_loss: 0.441; val_loss: 0.616; train_acc: 0.819; train_f1: 0.813, val_acc: 0.683; val_f1: 0.535
Epoch 186; train_loss: 0.437; val_loss: 0.614; train_acc: 0.815; train_f1: 0.815, val_acc: 0.683; val_f1: 0.59
Epoch 187; train_loss: 0.434; val_loss: 0.611; train_acc: 0.823; train_f1: 0.821, val_acc: 0.683; val_f1: 0.583
Epoch 188; train_loss: 0.442; val_loss: 0.672; train_acc: 0.822; train_f1: 0.815, val_acc: 0.625; val_f1: 0.574
Epoch 189; train_loss: 0.439; val_loss: 0.618; train_acc: 0.821; train_f1: 0.814, val_acc: 0.683; val_f1: 0.611
Epoch 190; train_loss: 0.438; val_loss: 0.712; train_acc: 0.813; train_f1: 0.812, val_acc: 0.625; val_f1: 0.574
Epoch 191; train_loss: 0.43; val_loss: 0.608; train_acc: 0.825; train_f1: 0.818, val_acc: 0.683; val_f1: 0.655
Epoch 192; train_loss: 0.438; val_loss: 0.642; train_acc: 0.807; train_f1: 0.803, val_acc: 0.683; val_f1: 0.647
Epoch 193; train_loss: 0.433; val_loss: 0.632; train_acc: 0.827; train_f1: 0.824, val_acc: 0.683; val_f1: 0.585
Epoch 194; train_loss: 0.425; val_loss: 0.705; train_acc: 0.823; train_f1: 0.814, val_acc: 0.625; val_f1: 0.537
Epoch 195; train_loss: 0.433; val_loss: 0.62; train_acc: 0.816; train_f1: 0.805, val_acc: 0.692; val_f1: 0.667
Epoch 196; train_loss: 0.438; val_loss: 0.71; train_acc: 0.814; train_f1: 0.807, val_acc: 0.633; val_f1: 0.607
Epoch 197; train_loss: 0.427; val_loss: 0.708; train_acc: 0.816; train_f1: 0.814, val_acc: 0.633; val_f1: 0.617
Epoch 198; train_loss: 0.435; val_loss: 0.637; train_acc: 0.827; train_f1: 0.821, val_acc: 0.692; val_f1: 0.579
Epoch 199; train_loss: 0.43; val_loss: 0.626; train_acc: 0.82; train_f1: 0.817, val_acc: 0.692; val_f1: 0.655
